"MapCode","SpeciesName","CohortAge","CohortBiomass"
11434,"AbieConc",65,52.36
11434,"AbieConc",70,237.71
11434,"AbieConc",85,582.67
11434,"AbieConc",105,726.33
11434,"AbieConc",125,1618.54
11434,"AbieConc",140,2179.76
11434,"PopuTrem",115,906.95
11447,"AbieConc",55,19.91
11447,"AbieConc",65,220.44
11447,"AbieConc",70,167.53
11447,"AbieConc",80,457.05
11447,"AbieConc",85,486.97
11447,"AbieConc",90,688.27
11447,"AbieConc",95,451.66
11447,"AbieConc",100,984.17
11447,"AbieConc",115,975.48
11447,"AbieConc",125,902.55
11447,"PseuMenz",50,17.49
11447,"PseuMenz",65,150.92
11447,"PseuMenz",70,157.96
11447,"PseuMenz",80,383.35
11447,"PseuMenz",90,1208.57
11447,"PseuMenz",105,1217.48
11447,"PseuMenz",110,1308.89
11447,"PopuTrem",60,24.86
11447,"PopuTrem",70,101.53
11447,"PopuTrem",75,67.1
11447,"PopuTrem",80,145.97
11447,"PopuTrem",85,275.11
11448,"JuniOste",85,28.82
11448,"JuniOste",90,69.52
11448,"PinuPond",30,152.57
11448,"PinuPond",60,118.58
11448,"PseuMenz",50,406.45
11448,"PseuMenz",55,63.69
11448,"PseuMenz",65,187
11448,"PseuMenz",75,1891.45
11448,"PseuMenz",85,501.82
11448,"PseuMenz",110,1096.81
11448,"PseuMenz",115,1131.13
11448,"QuerGamb",20,329.45
11448,"QuerGamb",25,51.04
11448,"QuerGamb",35,172.81
11490,"JuniOste",55,86.9
11490,"AbieConc",35,27.83
11490,"AbieConc",55,79.53
11490,"AbieConc",70,150.37
11490,"AbieConc",85,403.59
11490,"AbieConc",90,462.66
11490,"AbieConc",115,1265.66
11490,"PseuMenz",30,15.18
11490,"PopuTrem",45,71.17
11490,"PopuTrem",55,228.8
11490,"PopuTrem",60,636.13
11490,"PopuTrem",65,552.42
11490,"PopuTrem",70,1202.41
11490,"PopuTrem",75,836.44
11490,"PopuTrem",80,451.99
11490,"PopuTrem",85,153.78
11505,"PinuPond",40,32.67
11505,"PinuPond",50,74.8
11505,"PinuPond",55,144.43
11505,"PinuPond",60,125.29
11505,"PinuPond",65,534.6
11505,"PinuPond",70,235.51
11505,"PinuPond",90,379.39
11505,"PinuPond",100,708.62
11505,"PinuPond",110,878.46
11626,"AbieConc",45,205.7
11626,"PinuPond",40,57.09
11626,"PinuPond",45,44.22
