Time,EcoregionName,EcoregionIndex,TAP,MAT,BeginGrow,EndGrow,PDSI,
1979, 1, 0, 39.27, 8.33, 119, 267, 0, 
1980, 1, 0, 51.4, 9.26, 127, 264, 0, 
1981, 1, 0, 47.11, 9.77, 99, 264, 0, 
1982, 1, 0, 59.33, 8.26, 115, 260, 0, 
1983, 1, 0, 55, 8.89, 124, 269, 0, 
1984, 1, 0, 40.33, 8.75, 115, 260, 0, 
1985, 1, 0, 48.32, 8.93, 101, 258, 0, 
1986, 1, 0, 52.13, 9.27, 108, 261, 0, 
1987, 1, 0, 51.49, 8.27, 107, 282, 0, 
1988, 1, 0, 39.46, 8.74, 119, 279, 0, 
1989, 1, 0, 24.7, 9.46, 97, 268, 0, 
1990, 1, 0, 51.48, 8.66, 100, 265, 0, 
1991, 1, 0, 42.38, 8.48, 125, 271, 0, 
1992, 1, 0, 63.16, 8.37, 104, 269, 0, 
1993, 1, 0, 54.74, 8.75, 112, 263, 0, 
1994, 1, 0, 41.55, 9.12, 112, 260, 0, 
1995, 1, 0, 41.8, 9.23, 121, 262, 0, 
1996, 1, 0, 31.47, 9.76, 112, 264, 0, 
1997, 1, 0, 47.38, 8.67, 113, 260, 0, 
1998, 1, 0, 54.88, 8.21, 125, 261, 0, 
1999, 1, 0, 42.75, 9.12, 122, 263, 0, 
2000, 1, 0, 36.83, 9.77, 102, 265, 0, 
2001, 1, 0, 35.3, 9.25, 110, 269, 0, 
2002, 1, 0, 24.42, 9.46, 101, 262, 0, 
2003, 1, 0, 37.48, 10.11, 113, 280, 0, 
2004, 1, 0, 49.36, 9.21, 101, 266, 0, 
2005, 1, 0, 48.6, 9.58, 112, 277, 0, 
2006, 1, 0, 39.15, 9.58, 103, 268, 0, 
2007, 1, 0, 38.94, 9.71, 103, 269, 0, 
2008, 1, 0, 46.08, 8.99, 125, 271, 0, 
2009, 1, 0, 26.81, 9.25, 109, 261, 0, 
2010, 1, 0, 45.84, 8.88, 123, 278, 0, 
2011, 1, 0, 37.14, 8.65, 135, 266, 0, 
2012, 1, 0, 37.22, 10.34, 106, 271, 0, 
2013, 1, 0, 41.37, 8.7, 114, 260, 0, 
2014, 1, 0, 33.88, 10.13, 106, 274, 0, 
2015, 1, 0, 51.27, 9.77, 108, 291, 0, 
2016, 1, 0, 45.48, 9.99, 107, 291, 0, 
2017, 1, 0, 34.73, 10.57, 110, 268, 0, 
2018, 1, 0, 42.19, 10.04, 96, 272, 0, 
2019, 1, 0, 48.88, 9.3, 91, 261, 0, 
2020, 1, 0, 19.6, 10.57, 97, 278, 0, 
2021, 1, 0, 19.6, 10.57, 97, 278, 0, 
2022, 1, 0, 19.6, 10.57, 97, 278, 0, 
2023, 1, 0, 19.6, 10.57, 97, 278, 0, 
2024, 1, 0, 19.6, 10.57, 97, 278, 0, 
2025, 1, 0, 19.6, 10.57, 97, 278, 0, 
2026, 1, 0, 19.6, 10.57, 97, 278, 0, 
2027, 1, 0, 19.6, 10.57, 97, 278, 0, 
2028, 1, 0, 19.6, 10.57, 97, 278, 0, 
1979, 2, 1, 51.29, 7.77, 127, 265, 0, 
1980, 2, 1, 70.11, 8.8, 136, 263, 0, 
1981, 2, 1, 56.98, 9.4, 102, 261, 0, 
1982, 2, 1, 81.05, 7.84, 120, 260, 0, 
1983, 2, 1, 78.58, 8.49, 126, 269, 0, 
1984, 2, 1, 54.61, 8.31, 118, 260, 0, 
1985, 2, 1, 62.9, 8.5, 106, 252, 0, 
1986, 2, 1, 63.3, 8.75, 115, 255, 0, 
1987, 2, 1, 65.79, 7.93, 113, 284, 0, 
1988, 2, 1, 53.54, 8.49, 128, 255, 0, 
1989, 2, 1, 34.12, 9.22, 107, 264, 0, 
1990, 2, 1, 65.48, 8.21, 103, 264, 0, 
1991, 2, 1, 60.8, 8.14, 131, 270, 0, 
1992, 2, 1, 84.73, 8.07, 105, 267, 0, 
1993, 2, 1, 80.95, 8.34, 116, 263, 0, 
1994, 2, 1, 53.39, 8.62, 119, 260, 0, 
1995, 2, 1, 61, 8.79, 129, 260, 0, 
1996, 2, 1, 39.15, 9.34, 117, 260, 0, 
1997, 2, 1, 59.91, 8.37, 117, 260, 0, 
1998, 2, 1, 71.65, 7.7, 133, 260, 0, 
1999, 2, 1, 48.62, 8.67, 126, 261, 0, 
2000, 2, 1, 49.43, 9.18, 110, 262, 0, 
2001, 2, 1, 46.76, 8.84, 112, 270, 0, 
2002, 2, 1, 31.57, 9.12, 106, 260, 0, 
2003, 2, 1, 51.41, 9.53, 120, 275, 0, 
2004, 2, 1, 65.22, 8.68, 115, 264, 0, 
2005, 2, 1, 68.01, 9.05, 114, 268, 0, 
