Time,SpeciesName,NumCohortsPlanting,NumCohortsSerotiny,NumCohortsResprout,NumCohortsSeed,
10, AbieConc, 0, 0, 0, 0, 
10, AbieLasi, 0, 0, 0, 0, 
10, JuniOste, 0, 0, 0, 0, 
10, PiceEnge, 0, 0, 0, 0, 
10, PicePung, 0, 0, 0, 0, 
10, PinuPond, 0, 0, 0, 0, 
10, PinuEdul, 0, 0, 0, 0, 
10, PopuTrem, 0, 0, 0, 0, 
10, PseuMenz, 0, 0, 0, 0, 
10, QuerGamb, 0, 0, 0, 0, 
20, AbieConc, 0, 0, 0, 0, 
20, AbieLasi, 0, 0, 0, 0, 
20, JuniOste, 0, 0, 0, 0, 
20, PiceEnge, 0, 0, 0, 0, 
20, PicePung, 0, 0, 0, 0, 
20, PinuPond, 0, 0, 0, 0, 
20, PinuEdul, 0, 0, 0, 0, 
20, PopuTrem, 0, 0, 0, 0, 
20, PseuMenz, 0, 0, 0, 0, 
20, QuerGamb, 0, 0, 0, 0, 
30, AbieConc, 0, 0, 0, 0, 
30, AbieLasi, 0, 0, 0, 0, 
30, JuniOste, 0, 0, 0, 0, 
30, PiceEnge, 0, 0, 0, 0, 
30, PicePung, 0, 0, 0, 0, 
30, PinuPond, 0, 0, 0, 0, 
30, PinuEdul, 0, 0, 0, 0, 
30, PopuTrem, 0, 0, 0, 0, 
30, PseuMenz, 0, 0, 0, 0, 
30, QuerGamb, 0, 0, 0, 0, 
40, AbieConc, 0, 0, 0, 0, 
40, AbieLasi, 0, 0, 0, 0, 
40, JuniOste, 0, 0, 0, 0, 
40, PiceEnge, 0, 0, 0, 0, 
40, PicePung, 0, 0, 0, 0, 
40, PinuPond, 0, 0, 0, 0, 
40, PinuEdul, 0, 0, 0, 1, 
40, PopuTrem, 0, 0, 0, 0, 
40, PseuMenz, 0, 0, 0, 0, 
40, QuerGamb, 0, 0, 0, 0, 
50, AbieConc, 0, 0, 0, 0, 
50, AbieLasi, 0, 0, 0, 0, 
50, JuniOste, 0, 0, 0, 0, 
50, PiceEnge, 0, 0, 0, 0, 
50, PicePung, 0, 0, 0, 0, 
50, PinuPond, 0, 0, 0, 0, 
50, PinuEdul, 0, 0, 0, 0, 
50, PopuTrem, 0, 0, 0, 0, 
50, PseuMenz, 0, 0, 0, 0, 
50, QuerGamb, 0, 0, 0, 0, 
