Time,ClimateRegionName,ClimateRegionIndex,NumSites,NEEC,SOMTC,AGB,AG_NPPC,BG_NPPC,Litterfall,AgeMortality,MineralN,TotalN,GrossMineralization,C_LiveLeaf,C_LiveFRoot,C_LiveWood,C_LiveCRoot,C_DeadWood,C_DeadCRoot,C_DeadLeaf_Struc,C_DeadLeaf_Meta,C_DeadFRoot_Struc,C_DeadFRoot_Meta,C_SOM1surf,C_SOM1soil,C_SOM2,C_SOM3,N_Leaf,N_FRoot,N_Wood,N_CRoot,N_DeadWood,N_DeadCRoot,N_DeadLeaf_Struc,N_DeadLeaf_Meta,N_DeadFRoot_Struc,N_DeadFRoot_Meta,N_SOM1surf,N_SOM1soil,N_SOM2,N_SOM3,SurfStrucNetMin,SurfMetaNetMin,SoilStrucNetMin,SoilMetaNetMin,SOM1surfNetMin,SOM1soilNetMin,SOM2NetMin,SOM3NetMin,TotalNdep,LeachedC,LeachedN,FireCEfflux,FireNEfflux,Nuptake,Nresorbed,TotalSoilN,Nvol,FrassC,DroughtMort,
0, 1, 0, 42176, 0, 3971.3, 5569.8, 0, 0, 0, 0, 2.4, 352.1, 0, 0, 0, 2617.8, 2584.9, 93.9, 93.9, 8, 1.4, 0, 0, 2004.8, 59, 1376.5, 530.9, 0, 0, 12.5, 15.2, 0.5, 0.5, 0, 0.1, 0, 0, 200.5, 5.9, 55.1, 59.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 323.5, 0, 0, 0, 
0, 2, 1, 173620, 0, 4077.1, 8549.5, 0, 0, 0, 0, 2.4, 370.7, 0, 0, 0, 4018.3, 3896.2, 192.2, 192.2, 16.3, 2.9, 0, 0, 2010.2, 62, 1446.8, 558.1, 0, 0, 16.2, 22.3, 1, 1, 0.1, 0.3, 0, 0, 201, 6.2, 57.9, 62.5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 330.4, 0, 0, 0, 
0, 3, 2, 109375, 0, 4557.2, 9943.2, 0, 0, 0, 0, 2.4, 413.8, 0, 0, 0, 4673.3, 4476.5, 257.2, 257.2, 21.9, 3.9, 0, 0, 2216, 70.2, 1638.8, 632.1, 0, 0, 17.8, 25.6, 1.3, 1.3, 0.1, 0.4, 0, 0, 221.6, 7, 65.6, 70.8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 367.9, 0, 0, 0, 
0, 4, 3, 8118, 0, 6728.9, 10043, 0, 0, 0, 0, 2.4, 582, 0, 0, 0, 4720.2, 3942.5, 315.7, 315.7, 26.8, 4.7, 0, 0, 3094.5, 109, 2544.1, 981.3, 0, 0, 12.9, 30.9, 1.6, 1.6, 0.1, 0.5, 0, 0, 309.4, 10.9, 101.8, 109.9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 535, 0, 0, 0, 
10, 1, 0, 42176, -33.1, 4125.6, 4311, 29.4, 29.2, 6.6, 52.8, 1.05, 350.6, 0.5, 26.4, 26.4, 2002.8, 1989.1, 778, 803.8, 42.6, 9.7, 20.4, 22.3, 2052, 144, 1399, 530.7, 0.6, 0.5, 8.9, 11.8, 4.3, 4.7, 0.2, 0.4, 0.1, 0.7, 195.8, 8.1, 54, 59.4, 0, 0, 0, 0, 0.2, 0, 0, 0, 17.17, 0.01, 0.01, 11.2, 1, 0.4, 0.1, 319.8, 1.49, 0, 44.2, 
10, 2, 1, 173620, -25.7, 4307.6, 6659, 31.2, 31.1, 6.4, 81.8, 1.36, 369.7, 0.6, 25.9, 25.8, 3107.1, 3059.3, 1070.8, 1085.3, 46.8, 10.3, 18.9, 20.5, 2099.8, 165.8, 1484.1, 557.9, 0.5, 0.5, 12.5, 17.7, 4.5, 5.9, 0.2, 0.5, 0.1, 0.7, 196.7, 8.8, 57, 62.5, 0, 0, 0, 0, 0.3, 0, 0, 0, 22.68, 0.02, 0.01, 16.2, 1.2, 0.4, 0.1, 327.9, 1.97, 0, 35.3, 
10, 3, 2, 109375, -63.2, 5024.3, 8122.2, 65.9, 65.5, 14.4, 101.8, 1.47, 416.1, 1.1, 57, 56.9, 3764, 3689.1, 1213.8, 1230.6, 87, 21, 40.8, 43.2, 2407.7, 269.4, 1715.4, 631.8, 1.2, 1.3, 14.7, 21.4, 4.6, 6.7, 0.4, 0.8, 0.2, 1.5, 214.9, 12.2, 64, 70.8, 0, 0, 0, 0, 0.5, 0.1, -0.1, 0, 26.67, 0.07, 0.02, 11.7, 0.9, 0.9, 0.2, 366.2, 1.99, 0, 60.9, 
10, 4, 3, 8118, 9.6, 7744.9, 4889.2, 69.1, 67.9, 14.7, 69.6, 2.14, 574.6, 2.2, 62.7, 62.5, 2238.7, 1961.8, 2087.8, 1901.6, 74.5, 34.8, 39.5, 46.6, 3462.3, 523.1, 2778.8, 980.6, 1.7, 1.8, 6.3, 14.7, 5.9, 14.2, 0.4, 1.1, 0.2, 2, 292.3, 22, 100, 109.9, 0, 0, 0, 0, 0.8, 0.1, -0.3, 0, 33.48, 0.02, 0.1, 90, 7.4, 1.1, 0.2, 530, 2.85, 0, 309.1, 
20, 1, 0, 42176, -25.5, 4443.9, 3389.8, 47.9, 47.6, 6.9, 41.8, 1.21, 340.8, 1.1, 29.2, 29.2, 1566.8, 1561.2, 963.1, 1077.1, 84.1, 17.5, 46.9, 41.5, 2092, 309.5, 1511.9, 530.5, 0.6, 0.6, 6.8, 9.3, 5.1, 6.4, 0.4, 0.6, 0.2, 1.3, 183.8, 11.3, 53.8, 59.4, 0, 0, 0, 0, 0.4, 0.1, -0.1, 0, 15.67, 0.14, 0.02, 167.3, 9.5, 0.8, 0.1, 312.1, 1.79, 0, 22.3, 
20, 2, 1, 173620, -22.3, 4759.5, 5401, 40.9, 40.7, 6.9, 66.8, 1.55, 367.7, 0.8, 29.3, 29.3, 2512.2, 2493.6, 1417.5, 1480.9, 86.3, 17.4, 43.8, 39.1, 2251.8, 339.8, 1609.9, 557.9, 0.6, 0.6, 10.1, 14.6, 5.9, 8.3, 0.4, 0.6, 0.2, 1.3, 191.8, 12.2, 57.1, 62.5, 0, 0, 0, 0, 0.3, 0, -0.1, 0, 21.31, 0.08, 0.02, 53.2, 2.6, 0.6, 0.1, 327.7, 2.18, 0, 16.6, 
