EventID,SimulationYear,InitRow,InitColumn,InitialFireWeatherIndex,InitialDayOfYear,MaximumSpreadArea,IgnitionType,NumberOfDays,TotalSitesBurned,CohortsKilled,AvailableCohorts,MeanWindSpeed,MeanEffectiveWindSpeed,MeanWindDirection,MeanSuppressionEffectiveness,MeanFWI,MeanSpreadProbability,MeanPET,MeanWD,MeanClay,MeanFineFuels,MeanLadderFuels,MeanDNBR,TotalBiomassMortality,
1, 1, 986, 634, 0.847031820207143, 22, -636, Accidental, 2, 1, 4, 7, 8.31871032714843, 9.30327812920814, 298.799827575684, NaN, 0.85, NaN, 590.021369408392, 590.021369408392, 0, 0.0352714058837891, 0, 190, 2454, 
2, 1, 597, 348, 2.72939509757739, 24, -458, Lightning, 2, 1, 3, 12, 21.9698307037354, 23.0338382475936, 40.850692749023, NaN, 2.73, NaN, 590.021369408392, 590.021369408392, 0, 0.0379349725341797, 0, 105, 825, 
3, 1, 868, 515, 31.863435709379, 156, 57, Accidental, 1, 1, 7, 12, 23.4531669616699, 23.5709438823434, 84.714904785156, NaN, 31.86, NaN, 590.021369408392, 590.021369408392, 0, 0.044331381652832, 0, 103, 5339, 
4, 1, 768, 635, 65.7555684472365, 167, 185, Lightning, 15, 1066, 5700, 13236, 33.8975605415356, 35.073630405672, 28.7197809416179, 0, 57.1, 0.699385818346494, 513.820143678428, 408.430924071539, 0, 0.0665698307248918, 91.0769230769231, 84.34, 2483843, 
5, 1, 1067, 549, 38.9029695884853, 182, 137, Accidental, 1, 2, 15, 40, 19.7768480300903, 18.7130734113328, 28.935623168945, 0, 38.9, 0.0284133277613599, 576.255228266711, 533.366208332954, 0, 0.0496918386535645, 158, 124.5, 11936, 
6, 1, 1022, 364, 38.9029695884853, 182, 135, Lightning, 1, 1, 9, 22, 19.7768480300903, 19.2971996782935, 28.935623168945, NaN, 38.9, NaN, 576.255228266711, 576.255228266711, 0, 0.0603324691162109, 0, 118, 9373, 
7, 1, 980, 595, 28.5782573338223, 275, -151, Accidental, 2, 1, 8, 11, 9.24151554107665, 9.25593269715127, 113.712982177734, NaN, 28.58, NaN, 590.021369408392, 590.021369408392, 0, 0.0472166463623047, 0, 187, 6008, 
8, 1, 765, 679, 20.0005206327515, 312, -238, Accidental, 2, 1, 8, 12, 16.1044532775879, 15.2607378278375, 91.872772216797, NaN, 20, NaN, 590.021369408392, 516.269119537635, 0, 0.0222360646057129, 0, 157, 3678, 
9, 1, 780, 767, 25.2533562541991, 350, -224, Accidental, 3, 2, 15, 34, 11.6426698207855, 11.8085040338977, 188.808822631836, 0, 24.49, 0.00457064703789481, 604.928219764956, 552.66386166185, 0, 0.00678778652954101, 1045, 149.5, 5405, 
10, 2, 869, 573, 30.9467149746907, 157, -54, Accidental, 2, 1, 7, 14, 14.5326461791992, 14.5424027428237, 32.138717651367, NaN, 30.95, NaN, 590.021369408392, 590.021369408392, 0, 0.044331381652832, 0, 144, 4589, 
11, 2, 741, 822, 54.3789514041747, 161, 454, Lightning, 1, 18, 150, 345, 23.9632827758789, 26.1101081456646, 41.293823242188, 0, 54.38, 0.331982328762037, 604.928219764956, 563.710574690621, 0, 0.00882472920438978, 56.5, 100.44, 35618, 
12, 2, 941, 622, 50.9606898247973, 164, 383, Accidental, 1, 1, 6, 7, 22.6934743881226, 22.8076711335471, 41.038070678711, NaN, 50.96, NaN, 590.021369408392, 416.016856941599, 0, 0.0258104642333984, 0, 128, 6336, 
13, 2, 761, 559, 32.2073805041695, 172, 34, Accidental, 1, 2, 31, 62, 16.7720392227173, 20.4250392906608, 39.342590332031, 0, 32.21, 0.0267502470045244, 475.565666737059, 475.565666737059, 0, 0.0710790317382812, 0, 117.5, 15785, 
14, 2, 856, 698, 57.8195428353442, 173, 505, Accidental, 1, 1, 4, 9, 24.308744430542, 22.9439429488769, 33.093017578125, NaN, 57.82, NaN, 590.021369408392, 500.075278555143, 0, 0.00981228271484375, 0, 118, 550, 
15, 2, 806, 618, 49.0364247721618, 174, 305, Lightning, 1, 1, 7, 23, 19.5809635162354, 18.6655524839357, 31.119445800781, NaN, 49.04, NaN, 576.255228266711, 576.255228266711, 0, 0.0649871271972656, 0, 120, 2945, 
16, 2, 1104, 446, 34.6797731798183, 185, -20, Lightning, 2, 1, 11, 16, 12.0047581672668, 11.5806575125199, 49.867858886719, NaN, 34.68, NaN, 576.255228266711, 490.477188399197, 0, 0.0475716736450195, 0, 190, 6202, 
17, 2, 893, 140, 41.5915764884769, 229, 208, Accidental, 1, 3, 17, 44, 23.3712656021118, 22.3032581936216, 26.509887695312, 0, 41.59, 0.0969097242710671, 590.021369408392, 590.021369408392, 0, 0.0424395800170898, 337.666666666667, 103.33, 15024, 
18, 2, 721, 690, 47.8148163152336, 263, 370, Accidental, 1, 1, 4, 12, 23.0596109390259, 26.7888742200526, 39.242279052734, NaN, 47.81, NaN, 590.021369408392, 492.076672880214, 0, 0.0213460953369141, 0, 104, 2419, 
19, 2, 903, 121, 27.4557663200315, 265, -188, Accidental, 2, 1, 10, 16, 4.84675941467286, 7.60106251627944, 51.781539916992, NaN, 27.46, NaN, 576.255228266711, 576.255228266711, 0, 0.0422697012939453, 0, 210, 16471, 
20, 2, 793, 532, 40.1057607876145, 277, 44, Accidental, 1, 1, 7, 13, 8.87023515701293, 8.71771952957882, 121.651580810547, NaN, 40.11, NaN, 590.021369408392, 516.269119537635, 0, 0.049074517578125, 0, 219, 8233, 
