SimulationYear,DayOfYear,AttemptedNumberIgnitions,ActualNumberIgnitions,FireWeatherIndex,IgnitionType,
1, 22, 1, 1, 0.818372553744954, Accidental, 
1, 24, 1, 1, 2.17701371883406, Lightning, 
1, 156, 1, 1, 31.9039954240724, Accidental, 
1, 167, 1, 1, 72.1896558618927, Lightning, 
1, 182, 1, 1, 40.5962991105755, Accidental, 
1, 182, 1, 1, 40.5962991105755, Lightning, 
1, 275, 1, 1, 28.5412428965209, Accidental, 
1, 312, 1, 1, 19.8284162117396, Accidental, 
1, 350, 1, 1, 27.5417096028419, Accidental, 
2, 157, 1, 1, 30.332550790398, Accidental, 
2, 161, 1, 1, 47.5905170591666, Lightning, 
2, 164, 1, 1, 49.7573524259897, Accidental, 
2, 172, 1, 1, 43.1510621644257, Accidental, 
2, 173, 1, 1, 56.9189928315189, Accidental, 
2, 174, 1, 1, 52.5228466970438, Lightning, 
2, 185, 1, 1, 36.2670208217165, Lightning, 
2, 229, 1, 1, 41.4770405446022, Accidental, 
2, 263, 1, 1, 46.8561461237855, Accidental, 
2, 265, 1, 1, 27.4032793488702, Accidental, 
2, 277, 1, 1, 39.5167646137161, Accidental, 
2, 286, 1, 1, 45.7012758626211, Accidental, 
2, 291, 1, 1, 19.817077578131, Accidental, 
2, 297, 1, 1, 38.4253522008942, Accidental, 
2, 302, 1, 1, 21.6228850967916, Accidental, 
2, 326, 1, 1, 21.3539018296985, Lightning, 
2, 327, 1, 1, 36.819399897299, Lightning, 
2, 333, 1, 1, 52.2507414632782, Accidental, 
2, 336, 1, 1, 36.0380678190522, Lightning, 
2, 337, 1, 1, 44.1116593641971, Lightning, 
3, 90, 1, 1, 11.2530213573898, Accidental, 
3, 95, 1, 1, 13.7668951063067, Accidental, 
3, 134, 1, 1, 46.519558146193, Accidental, 
3, 144, 1, 1, 26.0063520692569, Accidental, 
3, 160, 1, 1, 42.5814368111786, Accidental, 
3, 167, 1, 1, 49.5616422749944, Accidental, 
3, 173, 1, 1, 49.9564800368058, Accidental, 
3, 189, 1, 1, 22.2523127762939, Lightning, 
3, 227, 1, 1, 15.5940324815171, Accidental, 
3, 362, 1, 1, 0, Lightning, 
4, 98, 1, 1, 9.33191294845494, Accidental, 
4, 123, 1, 1, 11.8260669041094, Lightning, 
4, 124, 1, 1, 14.6823829220948, Accidental, 
4, 177, 1, 1, 46.2743570928858, Accidental, 
4, 193, 1, 1, 47.1337190009655, Accidental, 
4, 298, 1, 1, 33.0104026776387, Lightning, 
4, 309, 1, 1, 35.897077225087, Accidental, 
5, 116, 1, 1, 13.2006131876924, Accidental, 
5, 166, 1, 1, 35.6726858362162, Lightning, 
5, 170, 1, 1, 47.6611722790775, Lightning, 
5, 235, 1, 1, 21.7273302901997, Lightning, 
5, 266, 1, 1, 15.6958602947546, Lightning, 
5, 297, 1, 1, 24.3550617010157, Accidental, 
6, 96, 1, 1, 10.1992064519541, Accidental, 
6, 114, 1, 1, 49.6536745495452, Accidental, 
6, 134, 1, 1, 40.333267097091, Accidental, 
6, 143, 1, 1, 55.2744914571159, Accidental, 
6, 153, 1, 1, 44.4393965470856, Lightning, 
6, 163, 1, 1, 40.8480062020988, Accidental, 
6, 164, 1, 1, 44.3585800601694, Lightning, 
6, 183, 1, 1, 29.4071168945563, Accidental, 
6, 185, 1, 1, 36.7476646403213, Accidental, 
6, 201, 1, 1, 25.5556949066868, Lightning, 
6, 250, 1, 1, 28.3504919491302, Accidental, 
6, 273, 1, 1, 48.5170012576329, Accidental, 
6, 324, 1, 1, 29.5390311569517, Accidental, 
6, 353, 1, 1, 17.6908335349758, Accidental, 
7, 30, 1, 1, 2.26108595185303, Accidental, 
7, 159, 1, 1, 41.2742186819574, Accidental, 
7, 169, 1, 1, 49.6433699488144, Accidental, 
7, 169, 1, 1, 49.6433699488144, Lightning, 
7, 180, 1, 1, 51.0519995888631, Accidental, 
7, 186, 1, 1, 44.4943099702493, Accidental, 
7, 187, 1, 1, 37.5636711519516, Lightning, 
7, 188, 1, 1, 33.7974970041647, Accidental, 
7, 225, 1, 1, 33.0790419747515, Lightning, 
7, 243, 1, 1, 32.7535664789537, Accidental, 
7, 250, 1, 1, 26.4590008530909, Lightning, 
7, 268, 1, 1, 30.7768363233059, Lightning, 
7, 274, 1, 1, 17.0122898834555, Lightning, 
7, 311, 1, 1, 50.6578632411993, Accidental, 
7, 312, 1, 1, 63.0315252678302, Accidental, 
8, 15, 1, 1, 2.30657505856413, Accidental, 
8, 140, 1, 1, 53.0615261173317, Accidental, 
8, 145, 1, 1, 38.5875931434981, Lightning, 
8, 196, 1, 1, 30.9397413868654, Accidental, 
8, 202, 1, 1, 23.8907341148664, Accidental, 
8, 225, 1, 1, 23.1346679497688, Accidental, 
8, 262, 1, 1, 48.3849933376976, Accidental, 
8, 278, 1, 1, 15.0172719898402, Accidental, 
9, 77, 1, 1, 11.3589487051332, Accidental, 
